from_node,to_node
32336206,12784893
32336206,339016297
301841803,187761439
2892088923,5593384415
2892088923,659788
2892088923,1396449287
1426051354,434149497
1426051354,26912118
1426051354,1426051367
658429,4836679335
658429,658464
658429,453482563
658429,8914657805
248380828,248380682
248380828,301832406
163132021,3646191111
163132021,3646191114
163132021,60001702
2626146603,25757771
2626146603,8515209793
2791792365,11841447179
2791792365,11841447177
257819123,43326250
257819123,43326231
665856,563895143
665856,563887684
665856,665860
192308498,192308465
192308498,192308503
192308498,192308520
5438601617,12280620
5438601617,5438601595
12649673,130236108
12649673,14955927
12649673,12649688
12649673,621545471
1396443488,2801734585
1396443488,111887558
1396443488,389379
11970102178,2581809747
11970102178,1284630461
3393611301,1430506662
3393611301,12427920
11273326585,240088666
11273326585,240088639
1430467324,279042305
1430467324,5396467485
67079574,67079571
67079574,671034
53484116,12280622
27688164,27688214
19192123,26413724
19192123,661455
19192123,1427047467
19192123,243480950
1442755,3451120784
1442755,26756133
1442755,195865275
1442755,18940355
12284657,28850808
12284657,2941844024
12284657,301829039
10069486558,104517865
696250337,696250191
3113042611,41173172
3113042611,255425838
4836679335,658464
4836679335,21620584
4238363,335750446
4238363,259573748
4238363,5812350367
26414595,243643704
32475584,32475585
32475584,130158815
32475584,26166033
32475584,130157149
11675303,2975697898
11675303,317494832
321859983,131037743
321859983,131037476
321859983,336142146
25973666,25973665
25973666,26414320
25973666,1410014030
26414332,26414351
26414332,5629129026
26414332,4898446741
26414332,5629129023
355146355,1420144428
29400048,671028
29400048,684995621
29400048,247391980
5438601535,12119423
5438601535,11675301
5438601535,4523227758
1294005414,5300250112
1294005414,3451922921
1294005414,1294005409
1294005414,532751179
196400735,181478091
20299841,20299837
20299841,1415542335
20299841,1294904416
26413724,26413718
26413724,241771992
12119108,659745
12119108,4002584843
12119108,10557731336
12119108,8613842665
12280645,12640060
12280645,19080521
12280645,12280643
1422254055,314505123
1422254055,2368336819
1422254055,456900223
1422254055,12861846727
15413104,15413102
15413104,657350
15413104,657351
661258,241080763
301818034,301818029
3451017457,3451017461
255234993,32334980
255234993,90252277
2837705709,1417058887
2837705709,1130327727
2837705709,1496749462
307478674,10709985869
307478674,10709985867
307478674,15852474
2771294716,6303812
411503314,1396845249
411503314,411503284
440865170,472223536
440865170,11675190
440865170,14653150
42503652,12117926
42503652,1422207311
42503652,247649450
559558171,337429610
559558171,1426048626
