SiteID,Node_osmid,Site_Lat,Site_Lon,Node_Lat,Node_Lon,Distance
1,1396454306,53.348754,-6.257607,53.348751,-6.2576196,1.29522198866576e-05
2,389372,53.354711,-6.246679,53.3547015,-6.2466905,1.4916433892529234e-05
3,1396443488,53.351374,-6.250073,53.3513668,-6.2500633,1.2080149005479714e-05
4,240380197,53.361145,-6.240513,53.3611129,-6.2404779,4.7564903026233916e-05
5,12246878,53.355797,-6.292406,53.3557795,-6.2924127,1.8738729951526964e-05
6,32335290,53.334055,-6.245199,53.3340381,-6.2451835,2.2931637533091387e-05
7,658472,53.336815,-6.249116,53.3367812,-6.24915,4.79420483532414e-05
8,32335403,53.333171,-6.243319,53.3331677,-6.2432726,4.6517201119360324e-05
9,28257211,53.361367,-6.242793,53.3613725,-6.2427661,2.7456511067511654e-05
10,12640060,53.38977512,-6.293530902,53.389771,-6.2935763,4.5584567608033576e-05
11,1358290508,53.38912341,-6.264819292,53.3891728,-6.2649204,0.00011252644028574666
12,6310866598,53.378896,-6.266859,53.3788834,-6.2668896,3.3092597358465056e-05
13,59612074,53.385948,-6.265175,53.3859291,-6.2651542,2.8104270139029117e-05
14,62102422,53.33773396,-6.219956537,53.3374714,-6.2198288,0.0002919837234684585
15,11675273,53.385381,-6.233328,53.3853548,-6.2333583,4.005658497695251e-05
17,389292,53.34823832,-6.254945771,53.3482797,-6.2549447,4.1393857526391484e-05
18,659706,53.36054415,-6.269639,53.3605706,-6.2696718,4.213600004786088e-05
19,3451159904,53.34738731,-6.282360635,53.3474117,-6.2823498,2.668837434150649e-05
20,12428431,53.350022,-6.281693,53.3500292,-6.2817224,3.0268795813093625e-05
21,26867851,53.351066,-6.270081,53.3510694,-6.2700746,7.2470683715994285e-06
22,17648104,53.338178,-6.269269,53.3381497,-6.2692976,4.023493506619819e-05
23,14955950,53.36116,-6.286128,53.3611563,-6.2861193,9.454099639642094e-06
24,340862535,53.33363351,-6.2650364,53.3334719,-6.2650526,0.0001624199251931984
25,389676,53.332574,-6.264879,53.3325969,-6.2648597,2.9948288763937402e-05
26,389279,53.345694,-6.267771,53.3453413,-6.2676306,0.00037961750486536355
27,12639615,53.389159,-6.312446,53.3892055,-6.3124392,4.6994574158183065e-05
29,1294005414,53.352363,-6.259162,53.3523744,-6.2591625,1.1410959649472828e-05
30,901698,53.3478176,-6.346206317,53.3478566,-6.3462427,5.333594181320041e-05
31,255544830,53.348321,-6.342702,53.3482768,-6.3426739,5.237604414037249e-05
32,12428355,53.370333,-6.268485,53.3702875,-6.2685053,4.9823087016915775e-05
33,29400040,53.33036,-6.260034,53.3303381,-6.2600464,2.5166843266668085e-05
34,2370573226,53.33275053,-6.262871769,53.3327276,-6.2629097,4.4323195518530256e-05
35,3585952599,53.342866,-6.271874,53.3428581,-6.2717919,8.247920950173669e-05
36,12649687,53.350115,-6.274547,53.3501399,-6.2745378,2.654524439488013e-05
37,14955953,53.345614,-6.275764,53.3458083,-6.2756299,0.00023608324803213733
38,1448444,53.33223388,-6.275230456,53.3322379,-6.2752072,2.3600888459244384e-05
39,659799,53.341155,-6.250742,53.3411673,-6.2507508,1.5123822269411486e-05
40,28256538,53.362621,-6.252298,53.3626061,-6.2522928,1.578131806567325e-05
41,86181660,53.360331,-6.20969,53.3603372,-6.2096782,1.332966615990943e-05
42,12115509,53.34282151,-6.316897682,53.342892,-6.3168096,0.00011281524198330885
43,11675266,53.3810861,-6.2392187,53.3810493,-6.2392206,3.6849016265716387e-05
44,5296502918,53.354362,-6.273197,53.3543598,-6.2732192,2.230874268135761e-05
45,12784890,53.348265,-6.30847,53.3482391,-6.3083471,0.0001255994426733683
46,4238407,53.33204294,-6.293480478,53.3320846,-6.2935126,5.2605878797289586e-05
47,1410014374,53.33015,-6.298166,53.3301329,-6.2981895,2.9063034941973722e-05
48,434149497,53.344118,-6.26722,53.3441352,-6.2669948,0.0002258558832526673
49,1448436,53.344169,-6.264473,53.3441775,-6.2644509,2.367826007097723e-05
50,389332,53.34424291,-6.262293315,53.3442515,-6.2623822,8.929911155800882e-05
51,666679,53.30913765,-6.260753211,53.3092606,-6.2606206,0.00018083799330387515
52,43326284,53.3111686,-6.2623423,53.3110186,-6.2625461,0.0002530502716878667
53,12301533428,53.33373167,-6.298584236,53.3337617,-6.298581,3.02038506794146e-05
54,4238406,53.333527,-6.291346,53.3335255,-6.2913819,3.593132338240474e-05
55,28246966,53.36070892,-6.260336307,53.360759,-6.2603728,6.196567960646531e-05
56,12119108,53.35293,-6.26834,53.3529588,-6.268296,5.2587450975913666e-05
57,20627000,53.357511,-6.263842,53.3575405,-6.2638637,3.662157833544547e-05
58,1415539792,53.356051,-6.265229,53.3560249,-6.2652507,3.39425986040018e-05
59,442727196,53.359011,-6.261967,53.3589854,-6.2618937,7.764180574983053e-05
60,659745,53.35423,-6.266954,53.3542147,-6.2669211,3.6283605113444776e-05
61,26765400,53.359794,-6.26129,53.359764,-6.2613238,4.519336234656818e-05
62,671005,53.324027,-6.328007,53.3240177,-6.3280351,2.9598986469559793e-05
63,28256484,53.36338899,-6.25783264,53.3634197,-6.2579126,8.565457197514875e-05
64,1430521504,53.37582125,-6.250365897,53.3758166,-6.2503529,1.3803786038778235e-05
65,1430467324,53.373441,-6.252043,53.3734261,-6.2520189,2.8334078419043005e-05
66,1607381,53.36873,-6.255011,53.3687549,-6.2549984,2.7906450866748975e-05
67,26765341,53.361724,-6.259479,53.3617471,-6.2594926,2.680615600931821e-05
69,661258,53.384781,-6.143031,53.3847911,-6.1430295,1.0210778622956245e-05
70,4836679335,53.33383461,-6.258650514,53.3338607,-6.2586193,4.068171452003755e-05
71,4238363,53.339541,-6.321016,53.3395244,-6.321039,2.836476687405869e-05
72,12382833167,53.362856,-6.236443,53.3627778,-6.2363907,9.407725548496017e-05
73,661474,53.3644,-6.229796,53.3643593,-6.2298176,4.607656671793036e-05
74,13128631,53.3666867,-6.2918802,53.3666783,-6.2920173,0.00013735708937040968
75,31015139,53.3410846,-6.2453144,53.3411514,-6.2453994,0.0001081075390522229
